,ZIP CODE,BOROUGH,month_year,year,truck_involved,COLLISION_ID,Pedestrian_hurt,Total Pop,Housing Units,collision_rate,injury_rate
0,10001,MANHATTAN,2012-07,2012,0,155,17,20579,12473,75.3,8.3
1,10001,MANHATTAN,2012-07,2012,1,6,0,20579,12473,2.9,0.0
2,10001,MANHATTAN,2012-08,2012,0,165,17,20579,12473,80.2,8.3
3,10001,MANHATTAN,2012-08,2012,1,11,0,20579,12473,5.3,0.0
4,10001,MANHATTAN,2012-09,2012,0,141,19,20579,12473,68.5,9.2
5,10001,MANHATTAN,2012-09,2012,1,9,0,20579,12473,4.4,0.0
6,10001,MANHATTAN,2012-10,2012,0,138,13,20579,12473,67.1,6.3
7,10001,MANHATTAN,2012-10,2012,1,14,0,20579,12473,6.8,0.0
8,10001,MANHATTAN,2012-11,2012,0,166,14,20579,12473,80.7,6.8
9,10001,MANHATTAN,2012-11,2012,1,7,0,20579,12473,3.4,0.0
10,10001,MANHATTAN,2012-12,2012,0,151,9,20579,12473,73.4,4.4
11,10001,MANHATTAN,2012-12,2012,1,10,1,20579,12473,4.9,0.5
12,10001,MANHATTAN,2013-01,2013,0,137,13,21966,12617,62.4,5.9
13,10001,MANHATTAN,2013-01,2013,1,10,0,21966,12617,4.6,0.0
14,10001,MANHATTAN,2013-02,2013,0,155,22,21966,12617,70.6,10.0
15,10001,MANHATTAN,2013-02,2013,1,5,0,21966,12617,2.3,0.0
16,10001,MANHATTAN,2013-03,2013,0,156,11,21966,12617,71.0,5.0
17,10001,MANHATTAN,2013-03,2013,1,8,0,21966,12617,3.6,0.0
18,10001,MANHATTAN,2013-04,2013,0,184,17,21966,12617,83.8,7.7
19,10001,MANHATTAN,2013-04,2013,1,10,0,21966,12617,4.6,0.0
20,10001,MANHATTAN,2013-05,2013,0,165,14,21966,12617,75.1,6.4
21,10001,MANHATTAN,2013-05,2013,1,11,1,21966,12617,5.0,0.5
22,10001,MANHATTAN,2013-06,2013,0,183,23,21966,12617,83.3,10.5
23,10001,MANHATTAN,2013-06,2013,1,16,2,21966,12617,7.3,0.9
24,10001,MANHATTAN,2013-07,2013,0,155,11,21966,12617,70.6,5.0
25,10001,MANHATTAN,2013-07,2013,1,9,0,21966,12617,4.1,0.0
26,10001,MANHATTAN,2013-08,2013,0,163,15,21966,12617,74.2,6.8
27,10001,MANHATTAN,2013-08,2013,1,11,0,21966,12617,5.0,0.0
28,10001,MANHATTAN,2013-09,2013,0,134,11,21966,12617,61.0,5.0
29,10001,MANHATTAN,2013-09,2013,1,14,0,21966,12617,6.4,0.0
30,10001,MANHATTAN,2013-10,2013,0,150,14,21966,12617,68.3,6.4
31,10001,MANHATTAN,2013-10,2013,1,8,0,21966,12617,3.6,0.0
32,10001,MANHATTAN,2013-11,2013,0,156,8,21966,12617,71.0,3.6
33,10001,MANHATTAN,2013-11,2013,1,12,0,21966,12617,5.5,0.0
34,10001,MANHATTAN,2013-12,2013,0,151,18,21966,12617,68.7,8.2
35,10001,MANHATTAN,2013-12,2013,1,9,0,21966,12617,4.1,0.0
36,10001,MANHATTAN,2014-01,2014,0,157,6,22767,12638,69.0,2.6
37,10001,MANHATTAN,2014-01,2014,1,13,1,22767,12638,5.7,0.4
38,10001,MANHATTAN,2014-02,2014,0,146,10,22767,12638,64.1,4.4
39,10001,MANHATTAN,2014-02,2014,1,6,0,22767,12638,2.6,0.0
40,10001,MANHATTAN,2014-03,2014,0,146,15,22767,12638,64.1,6.6
41,10001,MANHATTAN,2014-03,2014,1,7,1,22767,12638,3.1,0.4
42,10001,MANHATTAN,2014-04,2014,0,186,16,22767,12638,81.7,7.0
43,10001,MANHATTAN,2014-04,2014,1,7,0,22767,12638,3.1,0.0
44,10001,MANHATTAN,2014-05,2014,0,181,16,22767,12638,79.5,7.0
45,10001,MANHATTAN,2014-05,2014,1,12,0,22767,12638,5.3,0.0
46,10001,MANHATTAN,2014-06,2014,0,195,10,22767,12638,85.7,4.4
47,10001,MANHATTAN,2014-06,2014,1,10,0,22767,12638,4.4,0.0
48,10001,MANHATTAN,2014-07,2014,0,137,8,22767,12638,60.2,3.5
49,10001,MANHATTAN,2014-07,2014,1,11,0,22767,12638,4.8,0.0
50,10001,MANHATTAN,2014-08,2014,0,171,19,22767,12638,75.1,8.3
51,10001,MANHATTAN,2014-08,2014,1,9,1,22767,12638,4.0,0.4
52,10001,MANHATTAN,2014-09,2014,0,139,5,22767,12638,61.1,2.2
53,10001,MANHATTAN,2014-09,2014,1,11,0,22767,12638,4.8,0.0
54,10001,MANHATTAN,2014-10,2014,0,168,8,22767,12638,73.8,3.5
55,10001,MANHATTAN,2014-10,2014,1,18,1,22767,12638,7.9,0.4
56,10001,MANHATTAN,2014-11,2014,0,158,11,22767,12638,69.4,4.8
57,10001,MANHATTAN,2014-11,2014,1,14,0,22767,12638,6.1,0.0
58,10001,MANHATTAN,2014-12,2014,0,162,18,22767,12638,71.2,7.9
59,10001,MANHATTAN,2014-12,2014,1,5,0,22767,12638,2.2,0.0
60,10001,MANHATTAN,2015-01,2015,0,153,12,23537,13305,65.0,5.1
61,10001,MANHATTAN,2015-01,2015,1,6,0,23537,13305,2.5,0.0
62,10001,MANHATTAN,2015-02,2015,0,161,5,23537,13305,68.4,2.1
63,10001,MANHATTAN,2015-02,2015,1,10,0,23537,13305,4.2,0.0
64,10001,MANHATTAN,2015-03,2015,0,183,25,23537,13305,77.7,10.6
65,10001,MANHATTAN,2015-03,2015,1,10,1,23537,13305,4.2,0.4
66,10001,MANHATTAN,2015-04,2015,0,189,12,23537,13305,80.3,5.1
67,10001,MANHATTAN,2015-04,2015,1,13,0,23537,13305,5.5,0.0
68,10001,MANHATTAN,2015-05,2015,0,164,13,23537,13305,69.7,5.5
69,10001,MANHATTAN,2015-05,2015,1,9,0,23537,13305,3.8,0.0
70,10001,MANHATTAN,2015-06,2015,0,147,5,23537,13305,62.5,2.1
71,10001,MANHATTAN,2015-06,2015,1,5,0,23537,13305,2.1,0.0
72,10001,MANHATTAN,2015-07,2015,0,184,11,23537,13305,78.2,4.7
73,10001,MANHATTAN,2015-07,2015,1,6,0,23537,13305,2.5,0.0
74,10001,MANHATTAN,2015-08,2015,0,192,14,23537,13305,81.6,5.9
75,10001,MANHATTAN,2015-08,2015,1,8,0,23537,13305,3.4,0.0
76,10001,MANHATTAN,2015-09,2015,0,167,9,23537,13305,71.0,3.8
77,10001,MANHATTAN,2015-09,2015,1,8,0,23537,13305,3.4,0.0
78,10001,MANHATTAN,2015-10,2015,0,185,16,23537,13305,78.6,6.8
79,10001,MANHATTAN,2015-10,2015,1,7,0,23537,13305,3.0,0.0
80,10001,MANHATTAN,2015-11,2015,0,145,12,23537,13305,61.6,5.1
81,10001,MANHATTAN,2015-11,2015,1,6,1,23537,13305,2.5,0.4
82,10001,MANHATTAN,2015-12,2015,0,161,13,23537,13305,68.4,5.5
83,10001,MANHATTAN,2015-12,2015,1,7,2,23537,13305,3.0,0.8
84,10001,MANHATTAN,2016-01,2016,0,148,10,23332,13520,63.4,4.3
